book->id	book->name	book->author	book->day	book->month	book->year	
200001	Marias Diary (Plus S.)	Mark P. O. Morford	100082	5991	2530	
200002	Nine Times Nine	Richard Bruce Wright	101787	2900	1860	
200004	The Great Gilly Hopkins	Gina Bari Kolata	101339	39	2809	
200005	Meine Juden--eure Juden	E. J. W. Barber	103089	206	2771	
200006	You Can Draw a Kangaroo	Amy Tan	101850	5296	2092	
200007	The Little Drummer Girl	Robert Cowley	104382	1006	2764	
200008	A Walk Through the Fire	Scott Turow	102008	8795	2543	
200009	The Nursing Home Murder	David Cordingly	102866	7380	2019	
200010	The Blanket of the Dark	Ann Beattie	103933	5242	1483	
200011	Not Without My Daughter	David Adams Richards	101177	567	1851	
200012	Introducing Halle Berry	Adam Lebor	104762	3505	1040	
200013	Men Who Love Too Little	Sheila Heti	103084	6131	2770	
200014	Once In a House On Fire	R. J. Kaiser	104024	4472	2876	
200015	Skindeep (Pan Horizons)	Jack Canfield	100670	4898	2729	
200016	A Voice Through a Cloud	Loren D. Estleman	101508	8322	1171	
200017	Master Georgie: A Novel	Robert Hendrickson	102615	1448	2716	
200018	Verdun (Lost Treasures)	Julia Oliver	102598	7459	1430	
200019	Der Pferdefl??sterer.	John Grisham	103834	6335	2303	
200020	Snowboarding to Nirvana	Toni Morrison	101085	8670	1524	
